"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",-0.1531,-0.1219,"(-2.3681, 2.0614)","(-0.2876, 0.0439)",0.8935
"gender.v1Male","gender.v1Male",0.7533,0.3067,"(0.3257, 1.181)","(0.1305, 0.4829)",7e-04
"age.v1","age.v1",0.0357,0.0227,"(-0.0962, 0.1675)","(-0.0621, 0.1074)",0.6004
"income.v1.10000","income.v1.10000",0.0089,0.011,"(-0.0617, 0.0795)","(-0.0776, 0.0996)",0.8082
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.0668,0.0272,"(-0.3976, 0.5315)","(-0.1642, 0.2186)",0.7808
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.2011,0.0818,"(-0.5739, 0.9765)","(-0.2375, 0.4012)",0.6156
"I_frisat","I_frisat",0.5902,0.1075,"(0.4291, 0.7512)","(0.0781, 0.1368)",0
"z_ED_nat","z_ED_nat",-0.1636,-0.0476,"(-0.6639, 0.336)","(-0.1948, 0.0996)",0.5265
"z_HE_nat","z_HE_nat",0.1479,0.0331,"(-0.3349, 0.631)","(-0.0762, 0.1423)",0.5533
"z_SE_nat","z_SE_nat",0.1941,0.0691,"(-0.2274, 0.6157)","(-0.0828, 0.2209)",0.373
