"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",8.5166,-0.028,"(7.3866, 9.6463)","(-0.2009, 0.145)",0
"pdsMF.v1male","pdsMF.v1male",0.402,0.1632,"(-0.0324, 0.8365)","(-0.0155, 0.3418)",0.0744
"cg1.age.v1","cg1.age.v1",-0.0106,-0.0403,"(-0.0324, 0.0112)","(-0.1243, 0.0437)",0.348
"income.v1.10000","income.v1.10000",-0.0295,-0.0369,"(-0.1016, 0.0426)","(-0.1284, 0.0546)",0.4293
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.117,-0.0475,"(-0.5971, 0.3635)","(-0.245, 0.15)",0.6375
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.29,0.1177,"(-0.5341, 1.1147)","(-0.2213, 0.4567)",0.4965
"I_frisat","I_frisat",1.2405,0.225,"(1.0726, 1.4085)","(0.1945, 0.2555)",0
"z_ED_nat","z_ED_nat",0.1233,0.0358,"(-0.3955, 0.6409)","(-0.1165, 0.188)",0.6455
"z_HE_nat","z_HE_nat",0.1882,0.0424,"(-0.3029, 0.6789)","(-0.0697, 0.1545)",0.4587
"z_SE_nat","z_SE_nat",0.019,0.0068,"(-0.4132, 0.4517)","(-0.1508, 0.1645)",0.9323
