"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",418.738,0.2046,"(378.1293, 459.6359)","(0.0582, 0.351)",0
"pdsMF.v1male","pdsMF.v1male",-32.2878,-0.3132,"(-47.0578, -17.4855)","(-0.4622, -0.1642)",1e-04
"cg1.age.v1","cg1.age.v1",-0.8726,-0.0824,"(-1.597, -0.1553)","(-0.1531, -0.0117)",0.0232
"income.v1.10000","income.v1.10000",-0.1109,-0.0032,"(-2.5708, 2.3481)","(-0.078, 0.0715)",0.9323
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-13.8137,-0.134,"(-30.4127, 2.8824)","(-0.3017, 0.0337)",0.1184
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-8.0572,-0.0782,"(-36.0699, 20.0111)","(-0.3607, 0.2044)",0.588
"z_ED_EC_nat","z_ED_EC_nat",3.3091,0.0299,"(-4.8724, 11.5119)","(-0.047, 0.1067)",0.4466
"z_ED_EL_nat","z_ED_EL_nat",6.2462,0.0382,"(-12.4268, 24.7744)","(-0.0799, 0.1563)",0.5265
"z_ED_ER_nat","z_ED_ER_nat",-12.3019,-0.0795,"(-44.4015, 19.8302)","(-0.295, 0.1361)",0.4702
"z_ED_SP_nat","z_ED_SP_nat",-0.4341,-0.0029,"(-18.0249, 17.1152)","(-0.1246, 0.1188)",0.9628
"z_HE_EP_nat","z_HE_EP_nat",89.4098,0.0994,"(17.6812, 161.0282)","(0.0166, 0.1822)",0.0193
"z_HE_HE_nat","z_HE_HE_nat",21.7552,0.054,"(-18.891, 62.3173)","(-0.0507, 0.1587)",0.3127
"z_HE_HR_nat","z_HE_HR_nat",-9.2291,-0.0502,"(-25.9595, 7.325)","(-0.1442, 0.0438)",0.2962
"z_HE_SE_nat","z_HE_SE_nat",8.0662,0.068,"(-3.5, 19.5953)","(-0.0331, 0.1691)",0.1884
"z_SE_EI_nat","z_SE_EI_nat",4.0064,0.0301,"(-27.8111, 35.9552)","(-0.2184, 0.2785)",0.8126
"z_SE_EO_nat","z_SE_EO_nat",-8.1434,-0.0685,"(-29.4001, 13.1752)","(-0.2545, 0.1175)",0.4708
"z_SE_ER_nat","z_SE_ER_nat",-2.4398,-0.0243,"(-24.2425, 19.325)","(-0.2495, 0.2009)",0.8327
"z_SE_HQ_nat","z_SE_HQ_nat",-8.3699,-0.0499,"(-28.4819, 11.6384)","(-0.1743, 0.0744)",0.4317
"z_SE_SR_nat","z_SE_SR_nat",-10.3993,-0.0862,"(-29.4816, 8.7327)","(-0.2507, 0.0783)",0.3052
"z_SE_WL_nat","z_SE_WL_nat",19.5604,0.1183,"(-3.4078, 42.5152)","(-0.0259, 0.2625)",0.1091
