"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",22.0446,-0.0045,"(-22.3504, 66.4679)","(-0.1682, 0.1593)",0.3373
"gender.v1Male","gender.v1Male",4.748,0.1008,"(-2.9285, 12.4277)","(-0.0643, 0.2658)",0.2322
"age.v1","age.v1",3.6091,0.1171,"(1.181, 6.0362)","(0.0373, 0.1968)",0.0043
"income.v1.10000","income.v1.10000",-2.0275,-0.1333,"(-3.2912, -0.7645)","(-0.2174, -0.0492)",0.0021
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-2.5185,-0.0535,"(-11.1688, 6.1281)","(-0.2394, 0.1325)",0.5733
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",1.5202,0.0323,"(-12.792, 15.8252)","(-0.2753, 0.3399)",0.8372
"I_frisat","I_frisat",5.0295,0.0477,"(1.5555, 8.5083)","(0.0147, 0.0808)",0.0046
"p.mn.cohesion.mean.v1","p.mn.cohesion.mean.v1",-2.0477,-0.0379,"(-7.7616, 3.663)","(-0.145, 0.0692)",0.4882
"p.mn.safety.mean.v1","p.mn.safety.mean.v1",-0.2691,-0.0066,"(-5.6149, 5.0791)","(-0.1385, 0.1254)",0.9224
"p.mn.violence.mean.v1","p.mn.violence.mean.v1",0.5518,0.0098,"(-5.424, 6.5258)","(-0.0974, 0.1169)",0.8582
