"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",96.906,0.0694,"(87.4967, 106.3176)","(-0.1051, 0.2439)",0
"gender.v1Male","gender.v1Male",-2.1334,-0.228,"(-3.7621, -0.5048)","(-0.4043, -0.0517)",0.0117
"age.v1","age.v1",-0.8945,-0.1461,"(-1.4093, -0.3799)","(-0.2312, -0.061)",9e-04
"income.v1.10000","income.v1.10000",0.3887,0.1287,"(0.1207, 0.6568)","(0.0388, 0.2186)",0.0053
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.2726,0.0291,"(-1.5589, 2.1053)","(-0.1692, 0.2275)",0.7734
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-0.5157,-0.0551,"(-3.5483, 2.5183)","(-0.3835, 0.2732)",0.7422
"I_frisat","I_frisat",0.4696,0.0225,"(-0.1698, 1.1082)","(-0.0081, 0.053)",0.1498
"p.mn.cohesion.mean.v1","p.mn.cohesion.mean.v1",0.2982,0.0278,"(-0.913, 1.5094)","(-0.0866, 0.1422)",0.6339
"p.mn.safety.mean.v1","p.mn.safety.mean.v1",0.0246,0.003,"(-1.1092, 1.1582)","(-0.1378, 0.1439)",0.9665
"p.mn.violence.mean.v1","p.mn.violence.mean.v1",0.0272,0.0024,"(-1.2394, 1.2936)","(-0.1119, 0.1168)",0.9668
